date,order_id,sku,product_name,category,channel,region,units_sold,unit_price,revenue,cost,shipping_cost,platform_fee,ad_spend
2025-05-01,AMA-100000,Tripod Stand,Tripod Stand,Mount,Amazon,DE,1,35.54,35.54,10,4.93,5.33,1.92
2025-05-01,AMA-100001,Selfie Stick,Selfie Stick,Accessory,Amazon,UK,1,30.04,30.04,8,8.98,4.51,1.95
2025-05-01,AMA-100002,X4,X4,Action Camera,Amazon,US,1,475.76,475.76,320,5.74,71.36,44.16
2025-05-01,AMA-100004,X3,X3,Action Camera,Amazon,US,1,364.66,364.66,220,7.08,54.7,33.36
2025-05-01,AMA-100006,X4,X4,Action Camera,Amazon,US,2,521.03,1042.06,640,13.26,156.31,74.32
2025-05-01,AMA-100008,GO 3S,GO 3S,Action Camera,Amazon,US,1,211.72,211.72,140,9.45,31.76,14.42
2025-05-01,AMA-100009,X3,X3,Action Camera,Amazon,UK,1,418.21,418.21,220,9.81,62.73,43.6
2025-05-01,AMA-100010,Bike Mount,Bike Mount,Mount,Amazon,UK,2,19.56,39.12,12,7.75,5.87,2.08
2025-05-01,AMA-100011,GO 3S,GO 3S,Action Camera,Amazon,US,1,224.81,224.81,140,5.68,33.72,19.78
2025-05-01,AMA-100013,X4,X4,Action Camera,Amazon,JP,1,492.46,492.46,320,4.02,73.87,52.73
2025-05-01,AMA-100014,Battery,Battery,Accessory,Amazon,DE,1,41.1,41.1,15,4.69,6.16,4.54
2025-05-01,AMA-100015,X3,X3,Action Camera,Amazon,US,1,373.18,373.18,220,8.37,55.98,35.31
2025-05-01,AMA-100016,GO 3S,GO 3S,Action Camera,Amazon,US,1,241.23,241.23,140,7.36,36.18,25.08
2025-05-01,AMA-100017,Ace Pro,Ace Pro,Action Camera,Amazon,US,1,313.52,313.52,200,4.18,47.03,29.64
2025-05-01,AMA-100018,Ace Pro,Ace Pro,Action Camera,Amazon,JP,1,357.99,357.99,200,8.52,53.7,23.63
2025-05-01,AMA-100020,X4,X4,Action Camera,Amazon,JP,1,532.28,532.28,320,9.22,79.84,56.56
2025-05-01,AMA-100021,Bike Mount,Bike Mount,Mount,Amazon,UK,1,22.56,22.56,6,5.9,3.38,1.3
2025-05-01,AMA-100022,GO 3S,GO 3S,Action Camera,Amazon,DE,2,235.87,471.74,280,10.58,70.76,37.37
2025-05-01,AMA-100023,X4,X4,Action Camera,Amazon,US,2,466.54,933.08,640,10.65,139.96,92.57
2025-05-02,AMA-100024,Invisible Stick,Invisible Stick,Accessory,Amazon,JP,1,46.88,46.88,12,5.8,7.03,3.28
